title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
Hidden Deep,0,win,-50%,"24 Jan, 2022","Action, Adventure, Indie, Early Access",no,Cogwheel Software,Daedalic Entertainment,"Single-player, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Remote Play Together",2440,,,Very Positive
Minion Masters,0,"win, mac",,"24 May, 2019","Action, Adventure, Free to Play, Indie, RPG, Strategy",no,BetaDwarf,BetaDwarf,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud, Remote Play on Tablet",60823,,,Very Positive
Isonzo,245999,"win, linux",,"13 Sep, 2022","Action, Indie, Massively Multiplayer, Simulation, Strategy",no,"M2H, BlackMill Games",BlackMill Games,"Single-player, Online PvP, Steam Achievements, Full controller support, Steam Cloud",5755,20.0,73,Very Positive
Call of the Wild: The Angler™,139999,win,,"31 Aug, 2022","Adventure, Casual, Simulation, Sports",no,Expansive Worlds,Expansive Worlds,"Single-player, Online Co-op, Steam Achievements, Full controller support, Steam Cloud",3853,25.0,,Mostly Positive
Halfway,0,"win, mac, linux",-80%,"22 Jul, 2014","Action, Indie, RPG, Strategy",no,Robotality,Robotality,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Includes level editor",757,,,Mostly Positive
Hatsune Miku: Project DIVA Mega Mix+,526000,win,,"26 May, 2022",Action,no,SEGA,SEGA,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Stats",8863,30.0,,Very Positive
Marco & The Galaxy Dragon,0,win,-60%,"28 Feb, 2020","Adventure, Casual, Simulation",no,TOKYOTOON,Shiravune,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud",4563,9.0,,Very Positive
TRYP FPV : The Drone Racer Simulator,130999,"win, mac",,"30 Jun, 2022","Indie, Racing, Simulation, Sports, Early Access",no,UNDEAD BATTERY,UNDEAD BATTERY,Single-player,918,25.0,,Very Positive
Return,0,win,-10%,"29 May, 2023","Adventure, Indie, RPG",no,Dead Unicorn,Dead Unicorn,"Single-player, Steam Achievements, Full controller support, Steam is learning about this game",45,4.0,,Positive
MyDockFinder,54499,win,,"25 Nov, 2021",Utilities,no,MyDockFinder,MyDockFinder,"Steam Achievements, Steam Workshop, Steam Cloud",2826,0.02,,Very Positive
Digimon World: Next Order,499000,win,,"21 Feb, 2023","RPG, Simulation",no,"HYDE, Inc.",Bandai Namco Entertainment,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",450,7.0,,Very Positive
Paint the Town Red,165999,"win, mac, linux",,"29 Jul, 2021","Action, Indie",no,South East Games,South East Games,"Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor",20511,2.0,,Overwhelmingly Positive
Half-Life 2,90999,"win, mac, linux",,"10 Oct, 2007",Action,no,Valve,Valve,"Single-player, Steam Achievements, Steam Trading Cards, Captions available, Partial Controller Support, Steam Cloud, Includes Source SDK, Remote Play on Phone, Remote Play on Tablet, Remote Play Together",127121,,96,Overwhelmingly Positive
Old World,299999,"win, mac, linux",,"18 May, 2022","Simulation, Strategy",no,Mohawk Games,Hooded Horse,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play Together",2030,14.0,80,Mostly Positive
Blood Bowl 2,0,"win, mac",-85%,"5 Sep, 2017","Sports, Strategy",no,Cyanide Studios,Warhammer,"Single-player, Online PvP, Shared/Split Screen PvP, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud, Remote Play on TV, Remote Play Together",6495,,76,Very Positive
RPG Maker MV,604999,"win, mac, linux",,"23 Oct, 2015","RPG, Design & Illustration, Education, Web Publishing, Game Development",no,"Gotcha Gotcha Games, KADOKAWA, Yoji Ojima",Gotcha Gotcha Games,"Steam Trading Cards, Steam Workshop, Partial Controller Support",5640,,,Very Positive
Mega Man Battle Network Legacy Collection Vol. 2,553999,win,,"13 Apr, 2023","Action, RPG",no,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Single-player, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",226,,,Very Positive
Enter the Gungeon,130999,"win, mac, linux",,"5 Apr, 2016","Action, Adventure, Indie",no,Dodge Roll,Devolver Digital,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together",64701,,84,Very Positive
Candle Knight,0,win,-10%,"31 May, 2023","Action, Adventure",no,Dracma Studios,Dracma Studios,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam is learning about this game",9,12.0,,9 user reviews
Garten of Banban 3,76000,win,,"5 May, 2023","Action, Adventure, Casual, Indie",no,Euphoric Brothers,Euphoric Brothers,Single-player,1324,,,Mostly Positive
Derail Valley,299999,win,,"25 Jan, 2019","Adventure, Indie, Simulation, Early Access",no,Altfuture,Altfuture,"Single-player, Tracked Controller Support, VR Supported",3024,,,Overwhelmingly Positive
Longvinter,104999,win,,"24 Feb, 2022","Action, Adventure, Massively Multiplayer, RPG, Simulation, Early Access",no,Uuvana Studios,Uuvana Studios,"MMO, Online PvP, Online Co-op, Steam Achievements, Partial Controller Support",3538,1.0,,Mostly Positive
KARDS - The WW2 Card Game,0,win,,"15 Apr, 2020","Casual, Free to Play, Indie, Strategy",no,1939 Games,1939 Games,"Single-player, Online PvP, In-App Purchases, Remote Play on Tablet",26680,,80,Mostly Negative
Nova Drift,0,"win, mac",-45%,"27 Mar, 2019","Action, Indie, Early Access",no,Chimeric,Pixeljam,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards",8638,,,Very Positive
The Highrise,0,win,-10%,"28 May, 2023","Action, Adventure, Indie, Early Access",no,"Studio Hatch Co., Ltd.","Studio Hatch Co., Ltd.","Single-player, Online Co-op, Steam Achievements",88,10.0,,Mostly Negative
TaleSpire,119999,win,,"14 Apr, 2021","Indie, RPG, Simulation, Early Access",no,Bouncyrock Entertainment,Bouncyrock Entertainment,"Online Co-op, Includes level editor",2827,5.0,,Very Positive
Salt 2: Shores of Gold,0,win,-35%,"20 Sep, 2022","Action, Adventure, Indie, Early Access",no,Lavaboots Studios,Lavaboots Studios,"Single-player, Full controller support, Steam Cloud",692,2.0,,Very Positive
Lumencraft,0,"win, mac, linux",-35%,"28 Feb, 2023","Action, Indie, RPG, Simulation, Strategy",no,2Dynamic Games,Surefire.Games,"Single-player, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play on TV, Remote Play Together",758,4.0,,Mixed
Infinite Lagrange,0,win,,"7 Oct, 2021","Massively Multiplayer, Simulation, Strategy",no,NetEase Games,NetEase Games,"MMO, Online PvP, Cross-Platform Multiplayer, In-App Purchases",434,2.048,,Mixed
Turnip Boy Commits Tax Evasion,0,"win, mac, linux",-66%,"22 Apr, 2021","Action, Adventure, Casual, Indie",no,Snoozy Kazoo,Graffiti Games,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV",5953,0.6,72,Overwhelmingly Positive
Riichi City - Japanese Mahjong Online,0,"win, mac, linux",,"8 Sep, 2022","Casual, Free to Play, Sports, Strategy",no,"Formirai Co., Ltd.","Formirai Co., Ltd.","Online PvP, Cross-Platform Multiplayer, In-App Purchases",828,0.5,,Mixed
NBA 2K22,659000,win,,"9 Sep, 2021","Simulation, Sports",no,Visual Concepts,2K,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Remote Play on Tablet, Remote Play Together",29497,110.0,,Mixed
Contractors,108999,win,,"14 Dec, 2018","Action, Casual, Indie, Simulation",no,Caveman Studio,Caveman Studio,"Single-player, Online PvP, Cross-Platform Multiplayer, Tracked Controller Support, VR Only",2959,,,Very Positive
Disney Speedstorm,0,win,,"18 Apr, 2023","Action, Adventure, Casual, Racing, Simulation, Sports, Early Access",no,Gameloft,Gameloft,"Single-player, Online PvP, Shared/Split Screen PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Stats",629,40.0,,Mixed
Turing Complete,108999,"win, mac, linux",,"2 Oct, 2021","Simulation, Early Access",no,LevelHead,LevelHead,"Single-player, Steam Achievements, Steam Cloud",1461,,,Very Positive
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,299999,win,,"21 Mar, 2023","Action, Adventure, RPG",no,Skydance Interactive,Skydance Interactive,"Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Cloud",648,60.0,,Mostly Positive
The Last Spell,206999,win,,"9 Mar, 2023","Action, Indie, RPG, Strategy",no,Ishtar Games,The Arcade Crew,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud",8087,2.0,,Very Positive
Partisans 1941,0,win,-85%,"14 Oct, 2020","Indie, Strategy",no,Alter Games,Daedalic Entertainment,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud",5662,10.0,,Very Positive
Pharaoh: A New Era,190400,win,,"15 Feb, 2023","Simulation, Strategy",no,Triskell Interactive,Dotemu,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud",2562,8.0,,Very Positive
Spellcaster University,119999,"win, mac",,"15 Jun, 2021","Simulation, Strategy",no,Sneaky Yak Studio,Sneaky Yak Studio,"Single-player, Steam Achievements, Steam Cloud",2661,,73,Mostly Positive
Humanity,245999,win,,"15 May, 2023","Action, Casual, Indie",no,tha ltd.,tha ltd.,"Single-player, Steam Achievements, Full controller support, VR Supported, Steam Cloud, Includes level editor, Remote Play on TV",130,8.0,,Very Positive
Five Nights at Freddy's 3,59999,win,,"2 Mar, 2015","Action, Indie, Simulation",no,Scott Cawthon,Scott Cawthon,Single-player,7278,,68,Very Positive
Two Point Campus,359999,"win, mac, linux",,"9 Aug, 2022","Casual, Indie, Simulation, Strategy",no,Two Point Studios,SEGA,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",2061,6.0,83,Very Positive
