title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
Injustice™ 2,209999,win,,"30 Nov, 2017",Sports,no,Bossa Studios,QLOC,Shared/Split Screen PvP,11931,60.0,86,Very Positive
Doki Doki Literature Club Plus!,95999,win,,"30 Jun, 2021",Sports,no,Colossal Order Ltd.,Team Salvato,Full controller support,18311,,81,Overwhelmingly Positive
Besiege,95999,win,,"18 Feb, 2020",Early Access,no,"TendoGames Co., Ltd.",Spiderling Studios,VR Supported,40882,5.0,,Overwhelmingly Positive
This War of Mine,165999,win,,"14 Nov, 2014",Adventure,no,"CAPCOM Co., Ltd.",11 bit studios,Remote Play on Phone,61874,,83,Very Positive
Jurassic World Evolution 2: Dominion Malta Expansion,195999,mac,,"8 Dec, 2022",Indie,yes,Ninja Kiwi,Frontier Developments,Remote Play on Tablet,94,14.0,,Mostly Positive
Vertigo 2,245999,win,,"30 Mar, 2023",RPG,no,Square Enix,Zulubo Productions,Remote Play Together,1053,8.0,,Overwhelmingly Positive
Wobbledogs,108999,mac,,"15 Mar, 2022",Simulation,no,historia Inc.,Secret Mode,Single-player,6152,,79,Overwhelmingly Positive
Disney Speedstorm - Standard Founder’s Pack,429000,win,,"18 Apr, 2023",Indie,yes,Cat5Games,Gameloft,Online PvP,7,40.0,,7 user reviews
CHRONO TRIGGER®,140000,win,,"27 Feb, 2018",Racing,no,NEOWIZ,Square Enix,Downloadable Content,6793,,,Very Positive
Red Moon: Survival,0,mac,-10%,"30 May, 2023",Simulation,no,NetherRealm Studios,WMG,Steam Achievements,13,,,Positive
A Hat in Time,245999,linux,,"5 Oct, 2017",Sports,no,QLOC,Gears for Breakfast,Steam Trading Cards,37395,8.0,79,Overwhelmingly Positive
Painkiller Hell & Damnation,0,win,-90%,"31 Oct, 2012",Action,no,Team Salvato,Prime Matter,In-App Purchases,2509,,64,Very Positive
theHunter: Call of the Wild™ - Revontuli Coast,59999,win,,"28 Jun, 2022",Casual,yes,Spiderling Studios,Expansive Worlds,Partial Controller Support,392,60.0,,Mostly Positive
Europa Universalis IV: Lions of the North,130999,mac,,"13 Sep, 2022",Free to Play,yes,11 bit studios,Europa Universalis IV,Single-player,348,,,Very Positive
Turmoil,69999,linux,,"2 Jun, 2016",Action,no,Frontier Developments,Gamious,Steam Cloud,9332,,73,Very Positive
The Cycle Frontier - Prime Time Bundle,1029999,win,,"28 Sep, 2022",Simulation,yes,Zach Tsiakalis-Brown,YAGER,Single-player,13,37.0,,Positive
Poly Bridge 2,95999,win,,"28 May, 2020",Strategy,no,Animal Uprising,Dry Cactus,Online Co-op,6204,,,Very Positive
Uncrashed : FPV Drone Simulator,99999,win,,"1 Sep, 2021",Action,no,Gameloft,Louis Rochette,Downloadable Content,1089,25.0,,Very Positive
Spiral Dystopia,0,win,-20%,"26 May, 2023",Adventure,no,Square Enix,Kagura Games,Steam Achievements,13,4.0,,Positive
Mount & Blade: Warband,179000,win,,"31 Mar, 2010",Indie,no,WMG,TaleWorlds Entertainment,Full controller support,118434,,78,Overwhelmingly Positive
Trine Enchanted Edition,0,mac,-75%,"2 Jul, 2009",Action,no,Gears for Breakfast,Frozenbyte,Steam Cloud,11210,,80,Very Positive
Baldur's Gate II: Enhanced Edition,165999,linux,,"15 Nov, 2013",Indie,no,The Farm 51,Beamdog,Online PvP,7146,,78,Very Positive
CUSTOM ORDER MAID 3D2 It's a Night Magic,169999,win,,"30 Jul, 2019",Action,no,Expansive Worlds,KISS,Steam Trading Cards,1251,10.0,,Very Positive
Mega Man X DiVE,0,mac,,"14 Sep, 2021",Adventure,no,Paradox Development Studio,CAPCOM TAIWAN,In-App Purchases,1915,20.0,,Mixed
Supraland,0,linux,-50%,"5 Apr, 2019",Casual,no,Paradox Tinto,Supra Games,Single-player,8297,4.0,85,Very Positive
Diplomacy is Not an Option,119999,win,,"9 Feb, 2022",Indie,no,Gamious,Door 407,Steam Achievements,4040,2.0,,Very Positive
Kena: Bridge of Spirits,169999,mac,,"26 Sep, 2022",Adventure,no,YAGER,Ember Lab,Tracked Controller Support,8022,25.0,83,Very Positive
Amazing Cultivation Simulator,188819,linux,,"24 Nov, 2020",Simulation,no,Dry Cactus,GSQ Games,VR Only,16811,,,Very Positive
Redout: Enhanced Edition,0,win,-75%,"2 Sep, 2016",Strategy,no,Louis Rochette,34BigThings srl,Steam Trading Cards,3243,6.0,81,Very Positive
DRAGON QUEST BUILDERS™ 2,650000,win,,"10 Dec, 2019",Adventure,no,LiLiM,Square Enix,Single-player,5063,12.0,85,Very Positive
Sackboy™: A Big Adventure,879000,mac,,"27 Oct, 2022",Indie,no,TaleWorlds Entertainment,PlayStation PC LLC,Full controller support,973,60.0,,Mostly Positive
